gene,mean_expression
NUCKS1,0.5200571
PEBP1,0.51995695
PCOLCE,0.5196565
BRI3,0.5196314
EIF5A,0.5192308
PGK1,0.51910555
PTOV1,0.5183293
RBM3,0.5173027
NENF,0.516902
TAPBP,0.51677686
RALY,0.5165765
SMTN,0.5164513
AGPAT2,0.51509917
MPST,0.5147987
UBE2D3,0.51282054
ID1,0.5113682
HEPH,0.50961536
EIF3E,0.50836337
MGAT4B,0.50703627
SERBP1,0.506861
SET,0.50683594
CAPN2,0.50626004
PPIB,0.5060347
IGLC2,0.5059595
RBM5,0.5053836
MZT2A,0.50500804
PXDN,0.504382
ASS1,0.50423175
SNHG8,0.503781
CIB1,0.5036308
FLNB,0.5033804
WDR1,0.50240386
MTCH1,0.5020282
TSPO,0.501853
MINOS1,0.5005008
SELENOH,0.499374
LUC7L3,0.49914864
SLC9A3R1,0.4988732
NUMA1,0.498748
CLTC,0.49804688
ARHGDIA,0.49749598
RBP2,0.49729568
FXYD6,0.49609375
MAP2K2,0.49366486
PDIA6,0.49363983
SNX3,0.4931891
GDI2,0.4929888
SIVA1,0.49153647
PSMB4,0.48995894
TCF21,0.48770532
TRMT112,0.4876803
JTB,0.48722956
PDCD4,0.4871795
DDT,0.4865535
CLTA,0.48645332
SDF4,0.48640326
ARPC3,0.48610276
SPTAN1,0.48607773
NONO,0.4860527
EIF6,0.48560196
MXRA8,0.4853766
MRPS21,0.48497596
RBX1,0.48465043
SEM1,0.48460037
ATP1B3,0.48457533
CES2,0.48457533
CAMK2N1,0.48452523
MRFAP1,0.4836989
SEPT7,0.48302284
MVP,0.48247194
PPP1CA,0.4822466
CNBP,0.48202124
ZFP36,0.4819461
PRR13,0.48101965
TMEM176B,0.48021835
DDX3X,0.48014322
NDUFB8,0.48014322
ATP1B1,0.47946715
SCNN1B,0.47839043
TNFRSF14,0.4779397
NPC2,0.47771433
SERPINB6,0.4774389
FKBP1A,0.47698817
TMEM256,0.47691306
PSME1,0.47676283
XRCC6,0.4766877
APRT,0.4766877
CSTB,0.4765625
RBMX,0.4763121
SNHG25,0.4758113
ANXA5,0.47536057
HSD11B2,0.4746344
CYC1,0.47378305
H2AFV,0.47370794
OGT,0.47353265
SRSF6,0.47320715
HNRNPM,0.47310698
NUPR1,0.47208032
CTNND1,0.47157952
HIGD2A,0.4690004
ADD1,0.46885017
PLEKHJ1,0.46872497
GPC3,0.46869993
NDUFC2,0.4677484
ERBB2,0.4674479
ANAPC11,0.46709734
SLC39A5,0.46574518
